"","944946_CSF_25H_080224","945949_CTR_25H_CSF_070224","948_CSF_25H_080224","950951947_CSF_25H_080224","952953_CSF_25H_080224","954961_CSF_24H_080224","955961_CSF_24H_080224","956_CSF_24H_080224","957_CSF_24H_080224","958963_CSF_24H_080224","959_CSF_24H_080224","960962963_CSF_24H_080224","32963296.1_VECPAC_200224","330632963296.1VECPAC_200224_2","33283356_VECPAC_190224","333033473689_VECPAC_190224","335233703689_VECPAC_200224","335533643665_VECPAC_200224","935_CTR_LPS_CSF_070224","936_CTR_LPS_CSF_070224_2","937_CTR_LPS_CSF_070224","938942_CTR_LPS_CSF_070224","939940.2_CTR_LPS_CSF_070224","940934_CTR_LPS_CSF_070224","941_CTR_LPS_CSF_070224","942_CTR_LPS_CSF_070224","943_CTR_LPS_CSF_070224","CSF_75_103_20122021","CSF_106_20122021","CSF_105_21122021","CSF_101_102_104_21122021","DSS_7177T0.5_090224","DSS_7274T0.8.2_090224","DSS_73_090224","DSS_76_090224","DSS_B896_090224","DSS_T0.5B897_090224","DSS_T0.7_090224","DSS_T0.8_090224","CSF_81_83_108_113_21122021","CSF_109_21122021","CSF_110_21122021","CSF_113_20122021","DSS_7911180902_090224","DSS_114107_090224","DSS_BT1.8_090224","DSS_T1.5T1.7902_090224","DSS_T1.6901_090224","CSF_88_118_21122021","CSF_89_PROVA_07122021","CSF_115_116_121_122_21122021","CSF_118_120_21122021","DSS_8586T3.878906_120224","DSS_91_120224","DSS_117_120224","DSS_1229087_120224","DSS_906T3.8_120224","DSS_907_120224","DSS_T3.6_090224","DSS_T3.7_090224","CSF_96_20122021","CSF_70_21122021","CSF_97_21122021","CSF_123_124_126_20122021","CSF_129_21122021","DSS_93126T5.6_120224","DSS_95127_120224","DSS_12994128_120224","DSS_911T5.6_120224","DSS_912_120224","DSS_T5.5T5.8_120224","DSS_T5.7_120224","3297_VECPAC_190224","33543353VECPAC_190224","3369367333713677_VECPAC_190224","36743677_VECPAC_190224","36773688_VECPAC_190224","3679_VECPAC_190224","36803629.1_REP_VECPAC_200224","3681_VECPAC_190224","3687_VECPAC_190224","VECPAC_36783675_120224"
"Label","2.5","2.5","2.5","2.5","2.5","24","24","24","24","24","24","24","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CTR","CTR","CTR","CTR","CTR","CTR","CTR","CTR","CTR","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","T1","T1","T1","T1","T1","T1","T1","T1","T1","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"(2,5-Dimethoxyphenyl)acetone"," 0.209242386"," 0.563549801"," 0.659956594"," 1.430096511","-0.041964329","-0.127292885"," 1.418674953","-1.482073159","-0.446827832"," 0.098042361"," 0.315912439","-0.367741867","-0.406496158","-0.385251508"," 0.013942694","-0.418743371","-0.064536660","-0.861939387","-0.063486176"," 0.229468399"," 0.483351047","-0.104628269"," 0.581216384"," 0.189756135"," 1.585360514"," 0.440023539"," 0.742603295","-0.790805783","-0.902139879","-0.997957411","-0.784413724"," 0.222308185"," 0.669320106"," 0.475945269","-0.321779721"," 0.106031161"," 2.966970327"," 0.559853439"," 1.443284509","-1.214114096","-1.164174609","-1.229340448","-0.874143279","-0.429499605","-0.024962685"," 0.316019774"," 0.107392238","-0.398667407","-1.254728045"," 0.995594229","-0.816632654","-1.236649514","-0.061609617","-0.007615404"," 0.236792322"," 0.351031664"," 1.516605293","-0.208281178"," 0.497545909"," 0.395522662","-1.067999836","-1.129429970","-1.255774639","-1.193182740","-1.031137845","-0.444065003","-0.456137838","-0.581341838","-0.659915361","-0.179584510"," 0.755248201","-0.371879446"," 1.355203539"," 0.573721721","-0.485092924","-0.528324363","-0.143693918"," 0.135967700"," 0.023977098"," 5.323901326","-0.348569766","-0.624807065"
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","-1.29270374"," 0.67532937"," 0.82965810","-1.02183615"," 0.13915392"," 0.53078114","-0.49534374"," 1.06416421","-0.05745875"," 3.31895121"," 1.35625465"," 1.16872354","-0.44735956","-0.11194952","-0.27486500","-0.05197372"," 0.51009317","-0.60102745","-0.71447066","-0.53063023","-0.43251031"," 0.38849677","-1.29270190","-0.28685997","-0.69360230"," 0.34150514"," 1.40081053"," 0.10003650","-1.29271873","-0.57288672"," 0.69942188","-0.91180395","-0.34092517","-0.77550572","-0.02594045"," 2.20332311","-0.56314720","-0.15379218"," 0.03345132","-0.43751334"," 0.08038408","-0.72415322","-1.06463315","-1.29269776","-0.11749289"," 1.05012969"," 0.92087674","-1.29179729","-0.82440420","-1.10116542","-0.53749954","-1.05589432","-0.26916571"," 1.27834024"," 0.70235393"," 0.82977251"," 0.82658257"," 1.17260627","-0.09539896"," 1.26903213","-1.14534282","-1.29271393","-1.22698654"," 0.56356831","-1.29271771","-1.29269499","-1.29270071"," 0.45231159"," 3.34836158"," 0.09754844","-1.29255679"," 0.76054569"," 1.74759669","-0.66606887","-0.11340328","-0.14013800","-0.09036152"," 0.01090765"," 0.36468626"," 0.87860940","-0.28626760"," 0.77141334"
"(4-Fluorophenyl)phenylmethanol","-0.31327158","-0.31371389","-0.30911187","-0.30559091","-0.31195287"," 3.16997473","-0.30110926","-0.30190106","-0.31590740","-0.31055347","-0.31035154","-0.30822186"," 0.85275715","-0.31195287","-0.31257927","-0.31608275","-0.31621221","-0.32081477","-0.30697688","-0.30190106"," 4.65796898","-0.31327158","-0.31195287","-0.30745617","-0.30645003","-0.30270391","-0.30730125","-0.16752168","-0.17065631","-0.17445132","-0.01689509"," 5.07799574","-0.30682389","-0.30697688","-0.30911187","-0.30697688","-0.31352875","-0.30387966","-0.31155268","-0.14238579","-0.14732124","-0.16899736","-0.11367555","-0.30897322","-0.31258809","-0.30905622","-0.30601739","-0.30992109","-0.10613009","-0.27220471","-0.11777508","-0.15263281","-0.30844588"," 3.17429502","-0.30610702","-0.30503310","-0.30416790","-0.31005736","-0.30728531","-0.31495819","-0.18657830","-0.11422534","-0.10235637","-0.18089355","-0.17364300","-0.30697688","-0.31109655","-0.31654211","-0.31375435","-0.31085371","-0.30697688","-0.30347758","-0.29714713","-0.31209185"," 2.27920448","-0.31707270","-0.31470411","-0.29404764","-0.31008214"," 1.22863469","-0.31119470","-0.30766618"
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-"," 5.554705e-01","-1.431359e-01"," 4.362972e-01","-2.597183e-01"," 7.129854e-01"," 1.346900e-01"," 2.617412e-01","-8.019860e-01","-3.886058e-01"," 1.229848e+00","-4.069605e-01","-2.675928e-01","-3.685567e-01","-2.657650e-01","-2.849541e-01","-6.156543e-01","-7.904730e-01","-8.979565e-01","-1.371961e-01"," 5.674481e-01"," 5.904929e-05"," 3.502546e-01","-5.826875e-02"," 8.546811e-01","-4.731350e-01","-8.326686e-01","-3.633233e-02","-4.244197e-01","-4.643114e-01","-5.709107e-01","-3.505693e-01","-8.965554e-01","-2.703682e-01","-6.452886e-01"," 2.560371e-01","-6.419874e-02","-4.500416e-01"," 8.848349e-03"," 5.367190e-01","-4.751917e-01","-5.167262e-01","-5.892359e-01","-3.965179e-01","-3.706562e-01","-9.578789e-03"," 1.581458e-01"," 2.697962e-01"," 3.120977e-01","-4.627537e-01","-2.084219e-01","-3.675779e-01","-5.805120e-01"," 7.700309e-01"," 3.859365e-01"," 6.567355e-01"," 7.039375e-01"," 9.326897e-01"," 1.715458e+00"," 3.129858e-01"," 2.990051e-01","-6.561907e-01","-4.262087e-01","-3.082701e-01","-5.510525e-01","-6.412655e-01"," 2.552351e-01","-8.932436e-01","-8.958844e-01","-8.945325e-01"," 2.299395e-01"," 8.923892e-01"," 7.177200e-02"," 7.387616e+00"," 2.110188e-01","-3.002872e-01","-8.961417e-01"," 1.114557e+00"," 6.614478e-01","-2.859157e-01","-4.103439e-01","-4.433252e-01","-5.004162e-01"
"3,4,5-Trimethoxyamphetamine","-0.277744385","-0.713273062","-0.143228281"," 1.034777459","-0.137101614"," 0.740204702","-0.239023845"," 0.407392935","-0.507194902","-0.423578259"," 0.033967087","-0.713757308","-0.611846332","-0.713757473"," 3.767747301","-0.713754871"," 4.830211071","-0.710983568"," 0.855111850"," 2.363145608"," 0.719049899","-0.713727894"," 1.527239281"," 0.548040231","-0.701540764","-0.713628757"," 0.697746862","-0.486754590","-0.269845058","-0.196720180"," 0.122002641","-0.713757737"," 0.549628429","-0.314665781","-0.713698125"," 0.338455892"," 1.171770980"," 0.290776177"," 0.093577800","-0.713757936","-0.712235858","-0.274314232","-0.007906683"," 0.334552851"," 0.060166311"," 0.230218773"," 0.823340031"," 0.601363631","-0.533531287","-0.713757825","-0.589793349","-0.255417661"," 1.275499319"," 0.844993550"," 1.676351959"," 1.922253043","-0.713743568","-0.713742584","-0.713757267","-0.713244199","-0.419112005","-0.250280974","-0.058814783","-0.378799518","-0.122827245","-0.710292543","-0.713757435"," 0.757705933"," 0.642368442","-0.713720572","-0.713318550","-0.713757098","-0.713756819","-0.713757479","-0.703634803","-0.712795866","-0.707726990","-0.704425112","-0.711641120","-0.712943338","-0.685755278","-0.713757284"
"Oxypeucedanin","-0.24684746","-0.24685473","-0.24677905","-0.24672115","-0.24682577","-0.24682296","-0.24664746","-0.24666048","-0.24689080","-0.24680276","-0.24679944","-0.24676442","-0.24685540","-0.24682577","-0.24683607","-0.24689368","-0.24689581","-0.24697150","-0.24674395","-0.24666048","-0.24678057","-0.24684746","-0.24682577","-0.24675183","-0.24673528","-0.24667368","-0.24674928","-0.06291553"," 0.04178149"," 0.19206815","-0.19306209","-0.24692399","-0.24674143","-0.24674395","-0.24677905","-0.24674395","-0.24685169","-0.24669302","-0.24681919"," 0.43155156","-0.24703115","-0.24592365"," 0.02432865","-0.24677677","-0.24683622","-0.24677814","-0.24672817","-0.24679236","-0.09802892"," 1.35302309","-0.09440814","-0.24699466","-0.24676810","-0.24673450","-0.24672964","-0.24671198","-0.24669775"," 4.93871238","-0.24674902"," 6.28330085","-0.06513526","-0.24622951"," 0.06264828"," 0.21661786","-0.05106191","-0.24674395","-0.24681169","-0.24690124"," 3.30707183","-0.24680770","-0.24674395","-0.24668640","-0.24658231","-0.24682806","-0.24693103","-0.24690996","-0.24687101","-0.24653134","-0.24679501","-0.24653918","-0.24681330","-0.24675528"
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","-0.785715540"," 0.707299415","-0.785591429","-0.785486376","-0.457219744","-0.785671086","-0.785352660","-0.785376284","-0.231753866"," 0.358515838"," 0.801863322","-0.785564874"," 0.678594054"," 0.445684101"," 0.111953740"," 0.227830240"," 1.022675872","-0.443659006","-0.785527729","-0.089639637","-0.149386811"," 0.123539328"," 1.553962510","-0.785542029","-0.785512009"," 3.160151652"," 5.290594853","-0.502840531","-0.442003962","-0.574315177","-0.246726003","-0.522455555"," 1.131840443","-0.785527729","-0.246380946"," 3.115378265","-0.785723213"," 0.725142861"," 1.133768100","-0.570228516","-0.689097409","-0.620192437","-0.524043879"," 0.490378775"," 0.637214752"," 1.427519136"," 0.269949687","-0.785615573","-0.504890636","-0.731323991","-0.487846852","-0.531055645","-0.785571558"," 0.029243412","-0.782431527","-0.076785196","-0.785443919","-0.391690614"," 1.103711675"," 1.073680661"," 0.224721607"," 0.424639433"," 0.003483835","-0.510756627","-0.251552931","-0.200973229"," 0.385915166","-0.260191002","-0.194742479"," 0.183265476","-0.785527729","-0.785423322","-0.307396261","-0.326120346","-0.543381693","-0.345779630","-0.785758282","-0.785141966"," 0.984600141","-0.145317714"," 0.322484296","-0.322349487"
"1-(2,4-Dimethoxyphenyl)-propan-2-one"," 0.075301995"," 0.360218380"," 0.239618806"," 0.627681982"," 0.418750750","-0.446064922"," 0.322127004"," 0.037700700","-0.275204215","-0.148551307"," 0.033616715"," 0.394435277","-0.226547752","-0.073177909"," 0.014133779","-0.157712793"," 0.412587313"," 0.003064418"," 0.257346939","-1.394788600"," 0.403702057"," 0.869529711"," 0.506880124"," 2.479584025"," 0.387370980","-0.007336226"," 0.274477585","-1.415449885","-1.214776051","-0.724635894","-0.764279762"," 0.101065667"," 0.142023473","-1.122540678"," 0.287352671"," 0.240931875","-0.179355341"," 0.500356905"," 0.261863778","-0.878245370","-0.968398473","-0.872384994","-1.414144920"," 0.143180098"," 0.194789532"," 0.174592638"," 0.077224464"," 1.228935806","-0.774761862"," 6.124213192","-1.414564215","-1.415784157"," 1.519678665","-0.308199037"," 0.411420207"," 0.561913331"," 0.262416695","-0.189002557"," 0.036952544"," 0.533140949","-1.326311018","-1.182457597","-1.413814257"," 0.197142925","-1.416924407"," 0.156820124","-0.023349412"," 0.633527510","-0.232578147","-0.130395937"," 0.751449204"," 0.264930403","-1.246538760"," 0.687766730"," 0.094498880","-0.038044932"," 0.106503279"," 0.761788928"," 0.267667630","-0.908491864","-0.161144889","-0.376318508"
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine","-0.170800370"," 0.156018769","-0.105432636"," 0.397163240","-0.351606081","-0.279355111","-0.220913924","-0.176718169","-0.367423069"," 0.399624318","-0.341135195","-0.104701755","-0.123910059","-0.404026595","-0.065664379","-0.312231361","-0.087646975","-0.394072152"," 0.347811137"," 0.585360266"," 0.731499394"," 0.097231982"," 0.401501225"," 0.770713125"," 0.769446471"," 0.143284889"," 0.173770196","-0.842297789","-0.835462008","-0.818557802","-0.792525758","-0.087644641","-0.216145256"," 0.466399278","-0.058467627","-0.284654908"," 0.200863911"," 0.029091313","-0.177323788","-0.839275058","-0.828683845","-0.837897309","-0.820383119","-0.335752037","-0.197304740","-0.093987327","-0.237646662","-0.280371130","-0.827797718"," 7.476905597","-0.825725098","-0.832994031"," 0.503015834"," 0.053253775"," 0.357252223"," 0.287183536"," 0.738090855"," 0.145973160","-0.398189361"," 2.314030968","-0.842456829","-0.827882613","-0.838185389","-0.792778367","-0.837815562","-0.302448350","-0.056854228","-0.299931088","-0.250964972","-0.092523192"," 0.958079091","-0.361570805"," 0.257513572"," 0.350540436","-0.159263584"," 0.004333153"," 0.257441421"," 0.200349703","-0.278578863"," 1.060576619","-0.191989988"," 0.473649214"
