SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
Feci_DSS-T0_897_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T0_T0.5_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T0_T0.6_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T0_T0.7_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T0_T0.8_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T0_896_27022024,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
100_rep_110322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
101_rep_110322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
102_feci_100322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
103_rep_110322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
104_feci_100322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
105_rep_110322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
106_110322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
75_feci_100322,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
Feci_DSS-T1_111_27022024,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
Feci_DSS-T1_B901_27022024,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
Feci_DSS-T1_T1.5_27022024,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
Feci_DSS-T1_T1.6_27022024,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
Feci_DSS-T1_T1.8_27022024,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
108_rep_110322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
109_110322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
110_110322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
113_110322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
81_feci_100322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
83_feci_20_81,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
84_feci_100322,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
Feci_DSS-T1_B902_27022024,DSS_T1,DSS_T2,Keep,TRUE,DSS_T2
Feci_DSS-T1_T1.7_27022024,DSS_T1,No DSS_T1,Drop,TRUE,
Feci_DSS-T3_906_28022024,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_T3.7_28022024,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_T3.8_28022024,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
122_110322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
115_110322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
116_110322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
118_110322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
120_110322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
121_REP_140322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
88_feci_100322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
89_feci_100322,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_907_rep_28022024_2,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_91_28022024,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_T3.6_28022024,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
Feci_DSS-T3_90_28022024,DSS_T3,DSS_T4,Keep,TRUE,DSS_T4
