SampleID,classe originale,classe finale,Action,Class Change?,NEW CLASS
DSS911_REP_250124,DSS_T5,DSS_T5,Drop,FALSE,
DSST5.7_REP_250124,DSS_T5,DSS_T5,Drop,FALSE,
LPS937_150124,LPS_CTRL,No LPS_CTRL,Drop,TRUE,
LPS938_150124,LPS_CTRL,No LPS_CTRL,Drop,TRUE,
LPS943_150124,LPS_CTRL,No LPS_CTRL,Drop,TRUE,
LPS954_160124,LPS_24h,No 24h,Drop,TRUE,
DSS896_180124,DSS_T0,No T0,Drop,TRUE,
DSS897_180124,DSS_T0,No T0,Drop,TRUE,
DSST0.5_180124,DSS_T0,No T0,Drop,TRUE,
DSST0.6_180124,DSS_T0,No T0,Drop,TRUE,
DSST0.8_180124,DSS_T0,No T0,Drop,TRUE,
pls_107_a_12012022,DSS_T1,No T1,Drop,TRUE,
pls_108_13012022,DSS_T1,No T1,Drop,TRUE,
pls_109_13012022,DSS_T1,No T1,Drop,TRUE,
pls_110_13012022,DSS_T1,No T1,Drop,TRUE,
pls_112_13012022,DSS_T1,No T1,Drop,TRUE,
pls_113_13012022,DSS_T1,No T1,Drop,TRUE,
pls_84_12012022,DSS_T1,No T1,Drop,TRUE,
pls_115_13012022,DSS_T3,No T3,Drop,TRUE,
pls_121_a_12012022,DSS_T3,No T3,Drop,TRUE,
VECPAC_3347_290124,VECPAC_CRE+,No VECPAC_CRE+,Drop,TRUE,
VECPAC3681_250124,VECPAC_CTRL,No VECPAC_VECPAC_CTRL,Drop,TRUE,
VECPAC3687_260124,VECPAC_CTRL,No VECPAC_VECPAC_CTRL,Drop,TRUE,
DSS76_REP_190124,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSST0.7_180124,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_100_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_101_REP_14012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_103_14012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_104_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_106_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_71_a_12012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_74_12012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_76_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS73_REP_190124,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS77_REP_190124,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_102_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
pls_75_13012022,DSS_T0,DSS_T0,Keep,FALSE,DSS_T0
DSS901_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSS902_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSST1.5_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSST1.6_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSST1.8_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSS107_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSST1.7_190124,DSS_T1,DSS_T1,Keep,FALSE,DSS_T1
DSS117_REP_310124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS122_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS85_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS87_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS90_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS906_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS907_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSST3.6_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSST3.7_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSST3.8_230124,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_116_12012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_118_a_12012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_119_13012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_120_13012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_88_13012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
pls_89_14012022,DSS_T3,DSS_T3,Keep,FALSE,DSS_T3
DSS127_250124,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
DSS129_250124,DSS_T5,DSS_T5,Keep,FALSE,DSS_T5
