,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",0.11486383206178637,0.3875447608856319,0.0362431160803764,0.5761053874225412,0.18853888732094087,0.01458543743033498,0.021651208221706592,0.15000882469505578,0.33171199062441337,0.15000882469505578,0.01458543743033498,0.01458543743033498,0.017738634406774437,0.0,0.0011845624248445683,0.009352665746849472,0.017738634406774437,0.0362431160803764,0.011495670952248876
(6S)-5-Methyltetrahydrofolic acid,0.11486383206178637,0.3875447608856319,0.0362431160803764,0.5761053874225412,0.18853888732094087,0.01458543743033498,0.021651208221706592,0.15000882469505578,0.33171199062441337,0.15000882469505578,0.01458543743033498,0.01458543743033498,0.017738634406774437,0.0,0.0011845624248445683,0.009352665746849472,0.017738634406774437,0.0362431160803764,10.290000132900094
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",16.158757824914947,16.777435758955907,15.348404796505996,16.683230452450157,15.315767170336322,15.513238079868458,15.179712821323111,15.91300754562941,14.87039938196092,16.56273529021414,14.752753869032334,15.419080398582645,14.694629123546992,14.562548400302687,14.752753869032334,0.009352665746849472,15.645101065599476,14.694629123546992,15.60438545940459
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.275234453896633,26.951515096060565,26.731137620251758,26.617032528135233,26.8362971868934,26.8362971868934,26.275234453896633,26.370981945450755,26.047060488651574,26.617032528135233,26.047060488651574,25.814516614111668,26.8362971868934,26.275234453896633,26.13259548546827,26.617032528135233,27.049865890450818,26.48557796766902,26.13259548546827
(CH3)2C=NC2H558,18.476278414924053,18.98245520225664,18.51342131843653,18.952843152852925,18.58460203801825,18.099405241410356,18.099405241410356,18.38474377692785,18.302204914253736,18.54607657427622,18.067802151532387,18.38474377692785,18.04262601653478,17.660057267030734,18.023288474613935,18.413236135754342,18.38474377692785,18.445736051657303,18.122745545654567
(pm)-alpha-Tocopherol acetate,0.11486383206178637,0.3875447608856319,2.3300899761803593,8.70137053675881,0.18853888732094087,0.01458543743033498,1.6174896463616377,0.15000882469505578,0.33171199062441337,0.15000882469505578,0.01458543743033498,0.01458543743033498,0.017738634406774437,0.0,0.0011845624248445683,0.009352665746849472,0.017738634406774437,0.0362431160803764,0.011495670952248876
(pm)-N-Propylamphetamine,20.622527347240776,0.3875447608856319,0.0362431160803764,20.176184762710818,0.18853888732094087,19.59111089718934,0.021651208221706592,0.15000882469505578,0.33171199062441337,0.15000882469505578,0.01458543743033498,20.68214447305863,20.282845106280522,20.048178093574943,20.282845106280522,21.06766643054761,0.017738634406774437,0.0362431160803764,19.91599258455426
(pm)-Norketamine,29.56706431974475,0.3875447608856319,29.56706431974475,0.5761053874225412,0.18853888732094087,28.618906918333867,29.297634909152425,29.297634909152425,29.297634909152425,29.86865896777276,29.56706431974475,29.86865896777276,29.56706431974475,29.297634909152425,29.56706431974475,29.56706431974475,29.56706431974475,30.497407442008065,29.297634909152425
(pm)-Phenylpropanolamine,24.131480788666703,24.28621358414698,25.390618357582916,24.28621358414698,23.71559758268535,25.058523233344626,0.021651208221706592,24.913548201971683,24.78851327642198,25.924159887333087,24.4504568880619,24.78851327642198,24.03298722235293,24.57468427990455,24.131480788666703,0.009352665746849472,25.924159887333087,25.058523233344626,24.4504568880619
