"","Feci_LPS_2.5H_944_26022024","Feci_LPS_2.5H_945_26022024","Feci_LPS_2.5H_946_26022024","Feci_LPS_2.5H_947_26022024","Feci_LPS_2.5H_948_26022024","Feci_LPS_2.5H_949_26022024","Feci_LPS_2.5H_950_26022024","Feci_LPS_2.5H_953_26022024","Feci_LPS_24H_954_26022024","Feci_LPS_24H_955_26022024","Feci_LPS_24H_956_26022024","Feci_LPS_24H_957_27022024","Feci_LPS_24H_958_26022024","Feci_LPS_24H_959_26022024","Feci_LPS_24H_961_27022024","Feci_LPS_24H_962_27022024","Feci_LPS_24H_963_27022024","Feci_LPS-24H960REP_01032024","Feci_Vecpac-CRE_3296_01032024","Feci_Vecpac-CRE_3303_01032024","Feci_Vecpac-CRE_3304_01032024","Feci_Vecpac-CRE_3305_01032024","Feci_Vecpac-CRE_3306_01032024","Feci_Vecpac-CRE_3318_01032024","Feci_Vecpac-CRE_3328REP_01032024","Feci_Vecpac-CRE_3330_01032024","Feci_Vecpac-CRE_3334_01032024","Feci_Vecpac-CRE_3335_01032024","Feci_Vecpac-CRE_3347_01032024","Feci_Vecpac-CRE_3352REP_01032024","Feci_Vecpac-CRE_3355REP_01032024","Feci_Vecpac-CRE_3356_01032024","Feci_Vecpac-CRE_3370_01032024","Feci_Vecpac-CRE_3664_29022024","Feci_Vecpac-CRE_3665_29022024","Feci_Vecpac-CRE_3689_29022024","Feci_LPS_CTRL_934_23022024","Feci_LPS_CTRL_935_23022024","Feci_LPS_CTRL_936_23022024","Feci_LPS_CTRL_937_23022024","Feci_LPS_CTRL_938_26022024","Feci_LPS_CTRL_939_26022024","Feci_LPS_CTRL_940_26022024","Feci_LPS_CTRL_943_26022024","Feci_LPS-CTRL_941REP_01032024","75_feci_100322","100_rep_110322","101_rep_110322","102_feci_100322","103_rep_110322","104_feci_100322","105_rep_110322","106_110322","Feci_DSS-T0_896_27022024","Feci_DSS-T0_897_27022024","Feci_DSS-T0_T0.5_27022024","Feci_DSS-T0_T0.6_27022024","Feci_DSS-T0_T0.7_27022024","Feci_DSS-T0_T0.8_27022024","81_feci_100322","83_feci_20_81","84_feci_100322","108_rep_110322","109_110322","110_110322","113_110322","Feci_DSS-T1_111_27022024","Feci_DSS-T1_B901_27022024","Feci_DSS-T1_B902_27022024","Feci_DSS-T1_T1.5_27022024","Feci_DSS-T1_T1.6_27022024","Feci_DSS-T1_T1.7_27022024","Feci_DSS-T1_T1.8_27022024","88_feci_100322","89_feci_100322","115_110322","116_110322","118_110322","120_110322","121_REP_140322","122_110322","Feci_DSS-T3_90_28022024","Feci_DSS-T3_91_28022024","Feci_DSS-T3_906_28022024","Feci_DSS-T3_907_rep_28022024_2","Feci_DSS-T3_T3.6_28022024","Feci_DSS-T3_T3.7_28022024","Feci_DSS-T3_T3.8_28022024","70_feci_09032022","96_feci_100322","97_rep110322","124_110322","125_110322","126_110322","129_110322","Feci_DSS-T5_128_28022024","Feci_DSS-T5_B911_28022024","Feci_DSS-T5_B912_28022024","Feci_DSS-T5_T5.5_28022024","Feci_DSS-T5_T5.6_28022024","Feci_DSS-T5_T5.7_28022024","Feci_DSS-T5_T5.8_28022024","Feci_Vecpac-WT_3297REP_01032024","Feci_Vecpac-WT_3371REP_01032024","Feci_Vecpac-WT_3302_29022024","Feci_Vecpac-WT_3307_29022024","Feci_Vecpac-WT_3319_29022024","Feci_Vecpac-WT_3329_29022024","Feci_Vecpac-WT_3336_29022024","Feci_Vecpac-WT_3337_29022024","Feci_Vecpac-WT_3353_29022024","Feci_Vecpac-WT_3354_29022024","Feci_Vecpac-WT_3369_29022024","Feci_Vecpac-WT_3673_28022024","Feci_Vecpac-WT_3674_28022024","Feci_Vecpac-WT_3675_28022024","Feci_Vecpac-WT_3677_28022024","Feci_Vecpac-WT_3678_28022024","Feci_Vecpac-WT_3679_29022024","Feci_Vecpac-WT_3680_29022024","Feci_Vecpac-WT_3681_29022024","Feci_Vecpac-WT_3687_29022024","Feci_Vecpac-WT_3688_29022024"
"Label","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","24","24","24","24","24","24","24","24","24","24","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CRE+","CTRL","CTRL","CTRL","CTRL","CTRL","CTRL","CTRL","CTRL","CTRL","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","NT","T1","T1","T1","T1","T1","T1","T1","T1","T1","T1","T1","T1","T1","T1","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T3","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","T5","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"1,2-Benzenedicarboxylic acid"," 0.43265718","-0.13776656"," 0.13225331","-0.55121239","-0.30387305","-0.39439870","-0.55940521","-0.32036536","-0.46198158","-0.66567885","-0.79282252","-0.61927092"," 0.04339584","-0.54673151","-0.10453674","-0.43514282","-0.27075639"," 1.88533480","-0.64231941","-0.51534790","-0.37479016"," 0.07114179","-0.69578738","-0.59146974"," 7.60765642","-0.40946134","-0.21430432"," 0.02332897","-0.71316601"," 1.69187733"," 0.01850147","-0.39996971","-0.71965287","-0.25951036","-0.22508243"," 0.29735198","-0.13817118","-0.10806211","-0.34024910","-0.28363572"," 1.52416724"," 0.24444160"," 0.78684462","-0.41536999"," 0.44948836","-0.38082218","-0.77952697","-0.58343872","-0.69746082","-0.65160151","-0.47208492","-0.55092666","-0.53871465","-0.44156531","-0.66120743","-0.65518665","-0.77195645","-0.56973679","-0.67026411","-0.18365479","-0.36367752","-0.10437397","-0.50454917","-0.34674676","-0.30645614","-0.09172375"," 0.32237958"," 0.97324654"," 0.89032628","-0.42411333"," 0.92682402","-0.26538506"," 1.53731814","-0.30148708"," 0.05184777","-0.14583184","-0.39552844","-0.26726324","-0.35868461","-0.28751320","-0.23694896"," 1.11087207"," 0.47235383"," 0.85059982"," 1.36652328","-0.05583575","-0.19703754"," 0.18356169","-0.71186615","-0.19890784","-0.54869266","-0.49778790","-0.53691035","-0.45600505","-0.46799279","-0.26602298"," 0.61880648"," 1.41854557"," 0.07548993"," 0.90208755","-0.28861826"," 0.22293171"," 1.36095448"," 0.07001292"," 0.70958638","-0.36191510","-0.32607367","-0.34390986","-0.57855411","-0.58003790","-0.55009446"," 0.11624688","-0.34277745","-0.47399702","-0.35466223"," 3.94836876"," 0.59118837"," 2.02895167","-0.47197363"," 0.75898927","-0.64605777","-0.57463891","-0.66736118"
"10-Heptadecenoic acid","-0.80230681"," 0.37533070","-0.77697779"," 0.68953065"," 0.13351156","-0.76985864","-0.80230670"," 0.11072836"," 0.41803627"," 0.59132398"," 0.66772198","-0.80225726"," 0.74357179","-0.80230778"," 0.34274366"," 0.73604261","-0.79474540","-0.09711785"," 0.29255005","-0.75863087","-0.80230534"," 0.42869488","-0.80056847","-0.78734034","-0.80226365","-0.80230049","-0.63512682"," 0.62447154","-0.09382351"," 0.56336014","-0.80229680","-0.60200497","-0.79729304"," 0.77594343"," 0.59259667"," 0.70003275"," 0.67509978"," 1.08098622","-0.80229680"," 0.49898122","-0.33660910"," 0.24226623"," 0.45014652"," 0.46471646","-0.79276887","-0.67070081","-0.59790553","-0.54214098","-0.80230067","-0.61226297","-0.72398265","-0.47425026","-0.40045341"," 0.51574205","-0.79860781"," 0.17018701","-0.80231014"," 0.88764778"," 0.10275488","-0.65461346","-0.72530298","-0.80230914","-0.57253378","-0.50293567","-0.66705522","-0.67776510","-0.80229546"," 2.64396574"," 1.21102756"," 1.00647817"," 3.59869728"," 0.81523809","-0.74077803","-0.80230097","-0.80230681"," 3.80720941"," 0.28353265","-0.08250101","-0.16418790"," 3.93456148","-0.45126960","-0.12962049","-0.80229488"," 2.84913201","-0.80228350"," 0.36663864","-0.80230096","-0.80230274","-0.60893405","-0.80229239","-0.61376655","-0.55315310","-0.47115211","-0.49413895","-0.47825628"," 0.50652543","-0.79087432","-0.73836482"," 0.40086418","-0.80230086"," 0.22899954","-0.03529357","-0.80229829","-0.80231046"," 0.63506085","-0.80229534","-0.79475461","-0.80229678","-0.80230744","-0.80230189"," 1.85637297"," 0.55240301","-0.76987299"," 1.34152897"," 1.02484209"," 0.01473338"," 1.25210115"," 1.46728576"," 1.44844077","-0.80229966","-0.80230052"," 1.34993489"," 1.37665202"
"3-Aminobutanoic acid","-0.467661348","-0.467495843","-0.468611447","-0.466679537","-0.467769437","-0.469355106"," 0.238774388","-0.467732905","-0.467321524","-0.466829997"," 1.176671606"," 1.861510006","-0.467417378","-0.468002816","-0.464712125","-0.467038933","-0.466685569"," 2.978057361","-0.465883904","-0.465192820","-0.467144061","-0.471938316","-0.035142131"," 0.254793638","-0.452481582","-0.465438780","-0.466747635","-0.350353659"," 0.530472433"," 1.146219535","-0.346028761","-0.465912109"," 0.605945076"," 0.604347316","-0.461059036"," 0.775283062","-0.465744405"," 2.026967541","-0.464140283"," 1.464837730","-0.465969081"," 0.007809679","-0.466827728","-0.466603452","-0.469007011","-0.276578309"," 0.144484048","-0.125397676","-0.200702549"," 0.041075267","-0.288735944","-0.015183036"," 0.013951547","-0.467713562","-0.468035298","-0.467706212","-0.468834777","-0.468254831"," 0.297172874","-0.057049960"," 0.448129542","-0.450599176"," 0.160225063","-0.257153348","-0.105583597","-0.371936705","-0.463670353"," 8.347412061"," 0.894428428","-0.462883171","-0.459270135"," 0.432970977","-0.463271268","-0.465609157","-0.467662752","-0.373808875","-0.407620678","-0.242084614","-0.408737458","-0.252886515","-0.209869420"," 0.913696424","-0.463464820","-0.459637247","-0.459465844","-0.466260989","-0.465606492","-0.466231638","-0.394530631","-0.377737182"," 0.014231477","-0.378747003"," 0.143510314","-0.039753889","-0.322969517","-0.465185757"," 0.466638861"," 1.292258241","-0.467820036","-0.465569000","-0.468145487"," 0.530043408"," 2.431985744"," 0.099754859"," 0.449671614","-0.463629979"," 0.908047058"," 0.610526203"," 0.535754771","-0.465930271","-0.463902431","-0.466699867","-0.462647601","-0.463879968","-0.462883771","-0.460536470"," 0.962625482","-0.464224246","-0.465670803"," 0.663838547","-0.465450270"," 0.679586754","-0.465359629"
"3-Hydroxypicolinic acid"," 0.0324642741","-0.3224925904","-0.3211038689"," 0.2206869664"," 0.1022874111","-0.3869643180","-0.0289711260","-0.2191698589","-0.1949597263"," 0.1852171261","-0.2328919817","-0.3628372281"," 0.4793413829"," 0.0286971752"," 0.2462081623"," 0.5317719074"," 0.6030372569"," 0.0383282450","-1.1855878925","-0.3846915534"," 0.4611841378","-0.0490592484","-1.2260203605","-0.6663458863","-1.0673908118","-0.4417959336","-0.9743252576","-0.1751840105","-0.4760010315","-1.1473890819"," 0.2681316961","-1.1858366362","-1.1980001941"," 0.1462294746","-1.1430366647","-1.2130720599"," 0.4955102887"," 0.5461537680","-1.1702106401","-0.4639192619","-0.1885288124","-0.1769407151"," 0.1304084067"," 0.0336097187","-1.2131310335"," 0.0443108794","-0.7522155112","-0.1558673045"," 0.2259734915"," 0.0007082641"," 1.0421594745","-0.2541307493","-0.5295666151"," 0.8518858691"," 0.5354663034","-0.0763986857"," 0.2325633174"," 0.2812526081"," 0.5890480580","-0.6729804090","-1.2199720408","-0.4729063394","-0.5421758775","-0.1363053526","-0.7714858103","-0.4801978863"," 4.2775689168","-1.1209512894","-1.1837305852","-1.1591239814"," 1.0869365557"," 2.2416215172"," 1.7146934095","-0.5793109776","-0.7284390321","-1.2104983551","-0.6634537220","-0.5608464961"," 0.2566867936","-0.4704936527","-0.0398457621","-1.1122840288","-0.5870180688"," 1.2340798456"," 0.5092919671","-1.1889134624","-0.7131054444","-0.8127400764","-0.0345002776","-0.1457149482","-0.0423543791","-0.5152163249","-0.8966189015","-0.2731041650"," 0.3010254380"," 0.2813598838","-1.1772665509","-1.2160392216","-0.1010008946"," 0.4868267293"," 0.1956268395"," 0.2080738043"," 2.5809551405","-1.2125809345"," 3.2316062254","-1.1657101897"," 1.2165835801"," 2.2708410998","-1.0180745056"," 0.0705922873"," 1.4714544738","-1.1927839913"," 1.3913435711"," 1.2436425507"," 1.3903850485"," 0.4472832950"," 2.0188114707"," 2.5713879586"," 1.1836536219"," 0.6813066646"," 1.1286461465"," 0.6914421057"," 0.2654179807"
"4-Pentenoic acid","-0.018383441","-0.334758875","-0.461041202","-0.129267105","-0.249373724","-0.624111414","-0.119844258","-0.272723693"," 0.156840997","-0.264854348"," 0.148945398"," 0.112138256"," 0.071728947","-0.334608930","-0.019506755","-0.151571949"," 0.356326752"," 0.872350078"," 0.502768550","-0.201763151"," 0.570090797","-0.173587685"," 0.041228109","-0.408806784"," 0.777392523","-0.007024423","-0.019236691"," 0.420531933","-0.539749495","-0.089466936","-0.289419627","-0.548554460","-0.539263975","-0.011545492","-0.569697292","-0.264458668","-0.327521807"," 0.847264442"," 0.525669981","-0.709061557"," 0.512932945"," 0.231398709"," 0.252787455"," 0.091605258","-0.648773252","-0.616036510","-0.085429394"," 0.312152396","-0.173573504"," 0.058200972","-0.037567578","-0.186749290","-0.367251160"," 3.612930948"," 3.226600688","-1.022174400","-1.029068135","-1.025525590","-1.027567794","-0.658881408","-0.715754760","-0.630167610","-0.234885723","-0.240884070","-0.214026667","-0.374593214"," 2.339539690"," 2.970022874"," 0.438513688","-0.992713296","-0.970643397","-1.017614522","-0.995083947","-0.568915011","-0.629495329","-0.471429854","-0.415311808","-0.260067209","-0.244209873","-0.520108889","-0.402397430","-0.960270533","-0.497234697"," 5.323874947"," 4.009167930"," 0.244026350","-1.009348449","-1.013167099","-0.471360336","-0.724805026","-0.761629521","-0.307029888","-0.476888570","-0.591438571","-0.406337490"," 1.439485512"," 0.376131221"," 0.273634515","-1.022869684","-1.009119436","-1.024857673","-0.996871081","-0.670651169","-0.736601191"," 0.770229595"," 0.626514518","-0.298255438"," 1.238811839","-0.557086435"," 0.124977713","-0.088829933","-0.419224753","-0.272637357"," 0.815497995"," 1.161603029","-0.112271989"," 1.072021618"," 0.019539187"," 0.499646382"," 0.222429009"," 0.230956267"," 0.464333475"," 0.522047195"
"Acetohydroxamic acid"," 0.022074188"," 0.151016227","-0.187695777","-0.025444668","-0.170730518","-0.505187494","-0.068168305","-0.539333428"," 0.233125164","-0.355370117"," 0.974056997","-0.001305469"," 0.333624265"," 0.269998684","-0.495823654"," 0.588748671"," 0.267956788","-0.294413201","-0.369790859","-0.213800333","-0.271201076"," 1.042516148","-0.641055316","-0.309504916","-0.774062955","-0.523183408"," 0.804072844"," 2.497492888","-0.505609156"," 1.192623015","-0.143056686","-0.528823402"," 1.394180942"," 0.962978684"," 2.367790764","-0.432700679"," 0.815989920"," 0.396415431"," 0.403316543"," 0.300676509","-0.461351141"," 0.252564127"," 0.578504450"," 0.276352324","-0.697464986"," 1.620149181","-0.397630606"," 3.639986056"," 0.134069410"," 1.161322708"," 1.003082129"," 1.787796276","-0.826888951"," 1.666160696"," 2.723822371"," 0.334414185"," 1.215559779"," 2.562935360"," 1.577391620","-0.810726134","-0.830393729","-0.826157727","-0.831000783","-0.819544579","-0.830473728","-0.833229515"," 0.378307868"," 0.183256913","-0.059727539","-0.807929509"," 0.450390744","-0.424026389","-0.809193113","-0.816805052","-0.823491355","-0.826896182","-0.833055970","-0.833724498","-0.827248309","-0.821624777","-0.734204411","-0.790636879","-0.809823301","-0.797361098","-0.796803027","-0.818927353","-0.289908592","-0.818831788","-0.700002803","-0.806972907"," 4.156336864","-0.831036361","-0.670048257","-0.721317292","-0.612175563"," 0.089853477","-0.814627482","-0.828941789","-0.824003456","-0.038364694","-0.825063094"," 0.294676821","-0.813737345","-0.622429252","-0.281198030","-0.542979250","-0.301150124"," 0.866843491","-0.553629843","-0.400965554","-0.374552932","-0.820356296","-0.165629255","-0.087279098","-0.352733387","-0.366828783","-0.034344575"," 2.892987694","-0.401511250","-0.815307393"," 0.523666551","-0.814499174","-0.706058091"
"Argininosuccinic acid","-0.575106306"," 0.084496179","-0.578030085","-0.572084936","-0.575438932","-0.580318578","-0.344434999"," 0.125193889","-0.574060550","-0.572547953"," 0.221023472"," 0.123837557"," 0.213385614"," 0.266100170"," 0.418798656"," 0.103683174"," 0.213004001","-0.565210868","-0.569636500"," 0.298893177","-0.573514434"," 0.373737078","-0.583744956","-0.569253009"," 8.631823209"," 0.104675595"," 0.080005293","-0.567118163","-0.321975005"," 0.471851596"," 0.778257809"," 0.115383202","-0.008713494"," 0.062917264"," 0.270219120","-0.579226792"," 0.771557907","-0.566225635"," 0.541901523"," 0.516638792"," 0.239217504"," 0.242993772","-0.572540971"," 0.153488016"," 0.925977893","-0.574719437","-0.577046011","-0.582807620","-0.568459000","-0.579383548","-0.580241040","-0.577653473","-0.526055762","-0.068575158","-0.576257077","-0.575244367","-0.180246479","-0.576932656","-0.577961494","-0.563045470"," 3.170854262"," 0.317599503","-0.447128139","-0.571380297","-0.581710075","-0.584314730","-0.562824643"," 1.130532198","-0.568988414"," 0.399817538","-0.549283665","-0.572947155"," 1.405666650"," 0.488041687"," 0.207967788"," 0.452221432"," 0.668750832","-0.584782567"," 0.192678462","-0.573346414","-0.573054986"," 1.016174600"," 0.522724514"," 0.726719847"," 1.230460079","-0.570796921","-0.568782806"," 0.502837283","-0.572973865","-0.309500510","-0.561907736","-0.582241852","-0.582140224","-0.489695249","-0.548187484","-0.567488062","-0.566732862"," 1.785824801"," 0.531387351"," 0.496997854","-0.016132063"," 0.430321881"," 1.101479477","-0.003720686"," 0.094820424","-0.562700399","-0.565416303"," 0.261903765","-0.575793148"," 0.261725950","-0.563538828","-0.572147498","-0.559677286"," 0.199438107","-0.560404061"," 0.665711783","-0.561856587"," 0.180702687","-0.568980715"," 0.311769345"," 0.093611877","-0.566611590"," 0.103195142"
"Butyl caprylate","-0.551782931","-0.180306935","-0.267990442","-0.547593019","-0.259369356"," 0.225760255"," 0.560610812","-0.552088299"," 0.024349335","-0.155955483","-0.548083688"," 0.158347006"," 0.020474618","-0.553240154"," 0.296792663","-0.061161763"," 0.244793404","-0.237480100","-0.544197629","-0.201260876","-0.549575388","-0.032155789","-0.002219562"," 0.268014164"," 9.615291240"," 0.723309384"," 0.292694431","-0.540705302","-0.288251444","-0.163640311","-0.156597604"," 0.756535115","-0.337988605","-0.275184420","-0.194567043"," 0.074194418"," 1.555648509"," 1.511955773"," 0.838063721"," 0.878266202","-0.544561125","-0.550155465","-0.548225429","-0.159480730","-0.557525588","-0.279596205","-0.334754241","-0.308819579","-0.235045794","-0.309560611","-0.270893818","-0.251584807","-0.297999907"," 0.312783900","-0.553378773"," 0.081994319","-0.216391391","-0.554315638","-0.555742388","-0.195822337","-0.208968090","-0.148616117","-0.247550088","-0.169338617","-0.207296731","-0.065782009","-0.534751225","-0.512920367"," 0.521305872","-0.531391902"," 0.244809092"," 0.264627579","-0.533048116"," 0.004008235"," 0.088446769","-0.039551052","-0.197133646","-0.111714557","-0.139056871","-0.208718835","-0.153756208","-0.508726332","-0.533874109","-0.517539812"," 1.633701149"," 0.319044866","-0.543013761","-0.545681594","-0.319425210","-0.172930979","-0.289007180","-0.265772828","-0.268799606","-0.236768175","-0.274815851"," 0.733993218"," 0.158335946"," 2.054108673","-0.552460136"," 0.585971389","-0.189985837"," 0.671800076"," 0.282541964","-0.341898801","-0.273516153","-0.038793288","-0.538345232","-0.536732681","-0.552735415"," 0.325451296"," 0.628043249","-0.024639565"," 0.121611527"," 0.137619274"," 0.304106599"," 0.037989037","-0.106028334","-0.537114982","-0.543288213","-0.088419118"," 0.259725594","-0.540002808","-0.541960269"
"Deoxyglucose","-0.19312958"," 1.00351053"," 0.17412179","-0.49757931","-0.49621329"," 0.63508303","-0.28840484"," 0.30513782","-0.49761278","-0.49758715"," 0.40697800"," 0.27603706","-0.49085557"," 0.60133866","-0.18636001","-0.49759805","-0.49757962","-0.49533470","-0.03416099","-0.25615600","-0.30693496"," 1.23730870","-0.49777688"," 1.22377379"," 0.96615594","-0.49751461"," 0.05528750","-0.49749515","-0.42800205","-0.36379883","-0.49744689","-0.49753929","-0.49396672","-0.18902088","-0.49728623"," 0.94796099"," 1.28636301"," 3.98294438","-0.06577775","-0.49744542","-0.22472896","-0.49761062","-0.49630961"," 0.32879971","-0.49770067","-0.49762395","-0.49766337","-0.49776100"," 1.38265074","-0.49770298","-0.49771751","-0.49767366","-0.49768499","-0.49763322","-0.49765000","-0.49109544","-0.49769169","-0.49766145","-0.47258799","-0.49742614","-0.49774112"," 0.19704495","-0.30739627","-0.49756737","-0.49774240"," 1.56777641","-0.49742240","-0.49715565"," 1.25206428"," 0.62401190","-0.49719296","-0.38610241","-0.49740159","-0.49752349"," 1.54508478","-0.28125382","-0.49778375","-0.49779446"," 0.71985499","-0.49760068"," 0.77789008","-0.49710441","-0.49741168","-0.49721210","-0.46740397"," 7.08905841","-0.49752335","-0.49755595"," 0.66912077"," 0.69095157","-0.49740686","-0.37969994","-0.04453541","-0.49766054"," 0.34492808","-0.49750142","-0.49748862"," 3.08044357","-0.49763878","-0.48689436","-0.49765575"," 0.29145458"," 2.82739793","-0.49769742"," 0.05479949","-0.06527274","-0.12453466","-0.49744661","-0.49764214","-0.19984885"," 0.29539617","-0.49758037","-0.37000449","-0.49743333","-0.49738138","-0.49725899"," 0.67706144","-0.15315001","-0.49752671"," 0.27008897","-0.49751521"," 0.30879560","-0.49751048"
