,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",15.01632994,15.77119078,19.03232892,,17.65471592,17.50868105,17.10751249,17.41764093,13.13927252,19.91414788,20.48179996,20.07224148,
(6S)-5-Methyltetrahydrofolic acid,,,,,,8.440542694,,,,,10.90329381,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11.4394293,11.4394293,13.82550625,11.69677011,13.69280971,14.52190251,12.73234495,11.30311192,11.54525522,15.77119078,14.18900733,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.21598525,26.57850484,26.21598525,26.21598525,26.57850484,26.66354645,26.28206297,25.86401083,,25.20498336,26.21598525,,27.43814941
(CH3)2C=NC2H558,17.57743461,17.68490399,17.65471592,17.68490399,18.34933928,18.53473038,18.14386084,17.37332749,17.74600941,17.41764093,17.68490399,17.99882248,19.49088491
(pm)-alpha-Tocopherol acetate,10.80346591,11.54525522,12.47408576,9.797636276,11.08643122,13.77610444,11.12551377,10.33620733,12.30152493,12.92589364,15.80519976,17.02517013,
(pm)-N-Propylamphetamine,,,,18.24546509,23.46547128,23.62466954,,,22.28851522,21.44949396,22.33013675,,
(pm)-Norketamine,29.82120946,28.94512024,28.7290972,28.83578455,28.83578455,29.29145605,28.21775233,28.36661411,29.29145605,28.62219966,29.70267581,29.17613373,29.17613373
(pm)-Phenylpropanolamine,25.61352918,26.28206297,24.97491225,24.10765077,26.28206297,25.92561678,25.42314961,24.37092087,,23.42003078,,22.28851522,26.57850484
"(R*,S*)-2,3-Dihydroxybutanoic acid",8.060700058,,,5.048999298,9.62396472,13.93172834,9.62396472,7.67034095,,,,,
"(S,S)-(-)-Hydrobenzoin",17.81641018,17.17963916,,20.59037001,,,16.36344735,16.46168031,17.34403764,21.47951098,20.81410523,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",25.42314961,22.10611082,18.53473038,16.20969358,25.92561678,21.33613041,21.67830159,24.97491225,17.57743461,23.95175876,24.37092087,27.2753631,24.79367398
"1-(2,4-Dimethoxyphenyl)-propan-2-one",21.67830159,22.4575415,22.75549521,19.25964179,22.25749244,22.9850993,22.83610586,22.13350683,21.13405584,,,,
1-(3-Methylphenyl)piperazine,10.93923482,10.46110945,,12.47408576,,,,,9.797636276,,,,17.34403764
1-(4-Hydroxybenzylidene)acetone,,12.92589364,,,,,,,,,,13.58901481,16.06194833
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",17.37332749,17.34403764,17.50868105,12.92589364,17.54931888,17.96651419,17.99882248,17.65471592,16.74172136,18.48286187,18.67552784,19.09202204,18.42909881
1-Aminocyclopropanecarboxylic acid,29.17613373,30.62533777,28.09201408,30.44317623,28.21775233,29.17613373,29.70267581,28.21775233,29.56215162,32.49773563,31.95028341,26.66354645,30.13955608
"1-Butanamine, N,N-diethyl-",22.9850993,23.04500454,22.87131513,22.94755935,23.25570011,23.1393374,22.94755935,22.4575415,23.07526237,22.13350683,22.79402715,22.79402715,24.10765077
"1-Cyclohexanone, 3-butyl-3-methyl-",,12.65703776,,14.52190251,,,,11.76701544,10.99611396,10.71029243,10.46110945,12.30152493,
1-Cyclopentylethanol,16.36344735,15.80519976,16.32186031,14.9654651,16.90563777,,,15.28394562,,16.84566654,16.87569553,17.31738991,18.76457444
"1-Decanol, 2-methyl-",24.97491225,25.51261211,25.51261211,25.08858011,25.80227917,25.42314961,25.3085066,24.43779064,25.51261211,,,,
"1-Decene, 8-methyl-",22.83610586,,21.17688986,18.70216054,19.83089057,22.87131513,,18.92161575,19.49088491,,,13.77610444,
